Iteration,Time,TimeStep,Diff.Hf,Diff.Tw,Diff.Mice,MiceTotal
4.5000000000e+03,5.9216560000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.8240000000e+00
4.6000000000e+03,5.9599150000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.8490000000e+00
4.7000000000e+03,5.9981740000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.8740000000e+00
4.8000000000e+03,6.0364330000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9000000000e+00
4.9000000000e+03,6.0746920000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9250000000e+00
5.0000000000e+03,6.1129510000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9500000000e+00
5.1000000000e+03,6.1512100000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9750000000e+00
5.2000000000e+03,6.1894690000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0000000000e+00
5.3000000000e+03,6.2277280000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0250000000e+00
5.4000000000e+03,6.2659870000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0510000000e+00
5.5000000000e+03,6.3042460000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0760000000e+00
5.6000000000e+03,6.3425050000e+02,3.8260000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.1010000000e+00
